text,label
Free cash prize now,spam
Claim your free reward today,spam
Win afree phone now,spam
Urgent claim your money,spam
Limited time offer click now,spam
Congratulations you won a gift card,spam
Get cheap loans instantly,spam
Earn money fromhomenow,spam
Exclusive deal for lucky winners,spam
Click here to receive your reward,spam
Your account has won aprize,spam
Special discount available now,spam
Act now to getfree coupons,spam
Fast cash waiting for you,spam
Cheap medsavailable online,spam
Investment opportunity with guaranteed profit,spam
Winner confirmed click to claim,spam
You have been selected for a reward,spam
Immediate response needed for your prize,spam
Low interest loan approved now,spam
Meeting moved to 3pm,ham
Please review the lecture slides,ham
Class starts at 10 tomorrow,ham
Lunch with professor tomorrow,ham
Project meeting schedule attached,ham
Can you send methereport,ham
Let's meet after class,ham
Department seminar on Friday,ham
Assignment deadline is next Monday,ham
Please check the course website,ham
Teammeeting has been rescheduled,ham
Here is the draft for review,ham
The lab meeting starts at 2pm,ham
Please update the project document,ham
Reminder for tomorrow's presentation,ham
Office hour has been changed,ham
Please bring your laptop to class,ham
Final exam location has been announced,ham
Here are the notes from today's lecture,ham
Can wediscuss the homework after lunch,ham